aawdt,count_location,input_study_id,objectid,segkey,stname,year
2013,0,,297,13700,S JACKSON ST,20488
0,0,,299,0,ALASKAN WAY VI SB OFF RP,0
47000,WSDOT data,0,300,8924,AURORA AVE N,2014
42000,WSDOT data,0,301,8936,AURORA AVE N,2014
52000,WSDOT data,0,302,8921,AURORA AVE N,2014
35000,WSDOT data,0,303,8957,AURORA AVE N,2014
70000,WSDOT data,0,304,8919,AURORA BR,2014
2700,WSDOT data,0,305,15283,N 145TH ST,2014
0,2014,,306,31000,N 145TH ST,16678
27000,WSDOT data,0,307,16695,NE 145TH ST,2014
29000,WSDOT data,0,308,16685,NE 145TH ST,2014
28000,WSDOT data,0,309,16686,NE 145TH ST,2014
24000,WSDOT data,0,310,16698,NE 145TH ST,0
31000,WSDOT data,0,311,16681,NE 145TH ST,2014
20000,WSDOT data,0,312,12706,SAND POINT WAY NE,2014
27000,WSDOT data,0,313,16863,NE 45TH ST,2014
