dbn,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,school_name
09X517,50,368,384,369,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL
09X525,114,384,394,388,BRONX LEADERSHIP ACADEMY HIGH SCHOOL
09X543,27,353,315,371,HIGH SCHOOL FOR VIOLIN AND DANCE
10X141,113,438,455,440,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141)
10X213,86,373,412,365,BRONX ENGINEERING AND TECHNOLOGY ACADEMY
10X225,59,405,391,394,THEATRE ARTS PRODUCTION COMPANY SCHOOL
10X237,79,382,393,382,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS"
10X243,26,382,406,370,WEST BRONX ACADEMY FOR THE FUTURE
10X268,52,304,356,302,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL
10X284,54,402,395,385,BRONX SCHOOL OF LAW AND FINANCE
10X319,s,s,s,s,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL
10X342,49,300,333,301,INTERNATIONAL SCHOOL FOR LIBERAL ARTS
10X368,111,390,408,383,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368)
10X374,61,392,401,387,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA)
10X397,38,343,356,330,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS)
10X433,57,370,371,365,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS
10X434,51,404,418,400,BELMONT PREPARATORY HIGH SCHOOL
10X437,48,355,350,372,FORDHAM HIGH SCHOOL FOR THE ARTS
10X438,63,367,385,367,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY
10X439,65,366,364,352,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE
10X440,443,419,426,410,DEWITT CLINTON HIGH SCHOOL
10X442,52,423,420,427,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE"
10X445,731,632,688,649,BRONX HIGH SCHOOL OF SCIENCE
10X475,109,351,362,339,JOHN F. KENNEDY HIGH SCHOOL
10X477,99,414,435,414,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES
10X478,s,s,s,s,LEARNING TO WORK GED AT JOHN F. KENNEDY
10X546,68,348,362,354,BRONX THEATRE HIGH SCHOOL
10X549,55,372,379,364,DISCOVERY HIGH SCHOOL
10X660,73,362,382,356,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
10X667,10,350,356,317,GRACE DODGE YABC
10X696,92,636,648,636,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE
11X249,74,370,381,382,BRONX HEALTH SCIENCES HIGH SCHOOL
11X253,46,400,357,390,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS
11X265,81,377,391,367,BRONX LAB SCHOOL
11X270,56,386,394,361,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL
11X275,72,381,376,354,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY
11X288,97,444,471,433,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE
11X290,69,387,365,383,BRONX ACADEMY OF HEALTH CAREERS
11X299,60,387,391,391,ASTOR COLLEGIATE ACADEMY
11X415,121,367,361,353,CHRISTOPHER COLUMBUS HIGH SCHOOL
11X417,s,s,s,s,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS
11X418,48,419,433,416,BRONX HIGH SCHOOL FOR THE VISUAL ARTS
11X455,189,386,397,368,HARRY S TRUMAN HIGH SCHOOL
11X456,s,s,s,s,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL
11X513,72,332,381,335,NEW WORLD HIGH SCHOOL
11X514,48,377,372,363,THE BRONXWOOD PREPARATORY ACADEMY
11X541,57,372,382,375,GLOBAL ENTERPRISE HIGH SCHOOL
11X542,76,431,438,419,PELHAM PREPARATORY ACADEMY
11X544,55,383,378,365,HIGH SCHOOL FOR CONTEMPORARY ARTS
11X545,46,388,393,382,BRONX AEROSPACE HIGH SCHOOL
12X245,25,348,344,354,NEW DAY ACADEMY
12X248,49,347,367,341,"METROPOLITAN HIGH SCHOOL, THE"
12X251,57,381,381,360,EXPLORATIONS ACADEMY
12X262,30,361,353,360,PERFORMANCE CONSERVATORY HIGH SCHOOL
12X267,36,408,432,411,BRONX LATIN
12X271,46,366,378,358,EAST BRONX ACADEMY FOR THE FUTURE
12X278,34,390,401,364,PEACE AND DIVERSITY ACADEMY
12X388,30,321,351,298,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE
12X428,s,s,s,s,LEARNING TO WORK YABC AT MONROE ACADEMY
12X446,14,380,372,349,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX
12X478,s,s,s,s,THE CINEMA SCHOOL
12X479,s,s,s,s,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL
12X480,16,398,385,398,BRONX REGIONAL HIGH SCHOOL
12X550,42,304,323,312,HIGH SCHOOL OF WORLD CULTURES
12X682,72,342,346,341,FANNIE LOU HAMER FREEDOM HIGH SCHOOL
12X684,66,378,374,362,WINGS ACADEMY
12X690,31,375,387,376,MONROE ACADEMY FOR BUSINESS/LAW
12X692,43,332,357,349,MONROE ACADEMY FOR VISUAL ARTS & DESIGN
13K265,29,352,349,373,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS
13K336,9,439,374,418,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT
13K350,52,360,364,356,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART
13K412,37,375,355,384,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA"
13K419,92,399,417,395,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS"
13K430,1277,587,659,587,BROOKLYN TECHNICAL HIGH SCHOOL
13K439,90,305,364,312,BROOKLYN INTERNATIONAL HIGH SCHOOL
13K483,105,400,417,389,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE
13K499,72,384,364,368,ACORN COMMUNITY HIGH SCHOOL
13K509,29,400,390,403,FREEDOM ACADEMY HIGH SCHOOL
13K527,s,s,s,s,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN
13K553,8,435,383,379,BROOKLYN ACADEMY HIGH SCHOOL
13K575,13,398,391,394,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL
13K595,89,438,443,431,BEDFORD ACADEMY HIGH SCHOOL
13K605,85,406,391,392,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
13K616,s,s,s,s,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE
13K670,185,471,472,448,BENJAMIN BANNEKER ACADEMY
13K674,20,441,499,413,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY"
14K071,102,365,361,359,JUAN MOREL CAMPOS SECONDARY SCHOOL
14K322,s,s,s,s,FOUNDATIONS ACADEMY
14K404,68,387,357,381,ACADEMY FOR YOUNG WRITERS
14K449,72,586,584,570,"BROOKLYN LATIN SCHOOL, THE"
14K454,41,407,386,396,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS
14K474,144,364,379,371,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS
14K477,134,413,396,395,SCHOOL FOR LEGAL STUDIES
14K478,142,398,421,396,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY"
14K488,42,367,373,350,BROOKLYN PREPARATORY HIGH SCHOOL
14K558,72,363,385,364,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN
14K561,113,397,410,380,WILLIAMSBURG PREPARATORY SCHOOL
14K586,31,371,377,355,LYONS COMMUNITY SCHOOL
14K610,94,367,376,350,AUTOMOTIVE HIGH SCHOOL
14K632,12,382,372,368,FRANCES PERKINS ACADEMY
14K685,28,359,335,341,EL PUENTE ACADEMY FOR PEACE AND JUSTICE
14K923,s,s,s,s,AUTOMOTIVE HIGH SCHOOL YABC
15K429,52,361,367,383,BROOKLYN SCHOOL FOR GLOBAL STUDIES
15K448,76,393,399,387,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES
15K462,59,398,411,394,SECONDARY SCHOOL FOR LAW
15K463,58,397,391,381,SECONDARY SCHOOL FOR JOURNALISM
15K464,72,379,416,380,PARK SLOPE COLLEGIATE
15K497,64,405,415,392,SCHOOL FOR INTERNATIONAL STUDIES
15K519,77,398,402,385,COBBLE HILL SCHOOL OF AMERICAN STUDIES
15K520,9,352,341,300,PACIFIC HIGH SCHOOL
15K529,s,s,s,s,WEST BROOKLYN COMMUNITY HIGH SCHOOL
15K530,28,368,365,368,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL
15K656,141,426,421,411,BROOKLYN HIGH SCHOOL OF THE ARTS
15K667,s,s,s,s,SUNSET PARK HIGH SCHOOL
15K698,8,430,416,425,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL
16K393,20,355,355,358,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL
16K455,131,365,370,362,BOYS AND GIRLS HIGH SCHOOL
16K498,46,362,372,358,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY
16K594,36,370,372,351,GOTHAM PROFESSIONAL ARTS ACADEMY
16K688,s,s,s,s,THE BROOKLYN ACADEMY OF GLOBAL FINANCE
17K382,59,396,374,369,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL
17K408,57,352,342,351,ACADEMY OF HOSPITALITY AND TOURISM
17K467,s,s,s,s,ERASMUS YABC
17K489,7,394,364,334,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL
17K524,71,287,335,291,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS
17K528,46,403,385,388,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP
17K531,35,348,381,359,"SCHOOL FOR HUMAN RIGHTS, THE"
17K533,38,377,404,372,SCHOOL FOR DEMOCRACY AND LEADERSHIP
17K537,73,338,349,340,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS
17K539,61,362,375,368,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS
17K543,69,457,462,441,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS"
17K544,54,386,391,369,INTERNATIONAL ARTS BUSINESS SCHOOL
17K546,79,418,441,414,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW
17K547,63,388,382,373,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT
17K548,48,385,393,373,BROOKLYN SCHOOL FOR MUSIC & THEATRE
17K568,16,372,356,335,BROWNSVILLE ACADEMY HIGH SCHOOL
17K590,165,476,481,479,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL
17K600,259,425,413,413,CLARA BARTON HIGH SCHOOL
17K625,53,365,363,355,PAUL ROBESON HIGH SCHOOL
17K751,s,s,s,s,ACADEMY FOR HEALTH CAREERS
18K563,56,313,320,330,IT TAKES A VILLAGE ACADEMY
18K566,29,374,377,394,BROOKLYN GENERATION SCHOOL
18K567,54,383,358,377,BROOKLYN THEATRE ARTS HIGH SCHOOL
18K569,43,368,378,346,KURT HAHN EXPEDITIONARY LEARNING SCHOOL
18K576,63,387,377,379,VICTORY COLLEGIATE HIGH SCHOOL
18K578,17,384,362,351,BROOKLYN BRIDGE ACADEMY
18K589,48,361,360,359,ARTS & MEDIA PREPARATORY ACADEMY
18K617,37,404,393,386,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA
18K629,33,393,395,381,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES
18K633,75,386,380,393,HIGH SCHOOL FOR MEDICAL PROFESSIONS
18K635,7,400,370,370,OLYMPUS ACADEMY
18K637,35,363,381,367,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT
18K642,40,376,385,374,URBAN ACTION ACADEMY
18K673,12,410,403,378,EAST BROOKLYN COMMUNITY HIGH SCHOOL
19K409,54,416,432,394,EAST NEW YORK FAMILY ACADEMY
19K420,s,s,s,s,FRANKLIN K. LANE HIGH SCHOOL
19K431,s,s,s,s,THOMAS JEFFERSON YABC
19K502,37,341,349,333,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY
19K504,47,363,349,342,HIGH SCHOOL FOR CIVIL RIGHTS
19K507,61,380,386,383,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL
19K510,68,371,365,370,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL
19K583,29,279,322,286,MULTICULTURAL HIGH SCHOOL
19K615,182,395,418,380,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
19K618,60,371,371,354,ACADEMY OF INNOVATIVE TECHNOLOGY
19K639,57,360,385,363,BROOKLYN LAB SCHOOL
19K659,51,376,385,368,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL
